"","name","mfr","type","calories","protein","fat","sodium","fiber","carbo","sugars","potass","vitamins","shelf","weight","cups","rating","totalcarbo"
"2","100% Bran","N","C",70,"4",1,"130","10",5,6,"280","25","3","1","0.33","68.402973",11
"3","100% Natural Bran","Q","C",120,"3",5,"15","2",8,8,"135","0","3","1","1","33.983679",16
"4","All-Bran","K","C",70,"4",1,"260","9",7,5,"320","25","3","1","0.33","59.425505",12
"5","All-Bran with Extra Fiber","K","C",50,"4",0,"140","14",8,0,"330","25","3","1","0.5","93.704912",8
"10","Bran Chex","R","C",90,"2",1,"200","4",15,6,"125","25","1","1","0.67","49.120253",21
"11","Bran Flakes","P","C",90,"3",0,"210","5",13,5,"190","25","3","1","0.67","53.313813",18
"14","Cinnamon Toast Crunch","G","C",120,"1",3,"210","0",13,9,"45","25","2","1","0.75","19.823573",22
"21","Cracklin' Oat Bran","K","C",110,"3",3,"140","4",10,7,"160","25","3","1","0.5","40.448772",17
"36","Great Grains Pecan","P","C",120,"3",3,"75","3",13,4,"100","25","3","1","0.33","45.811716",17
"46","Muesli Raisins, Dates, & Almonds","R","C",150,"4",3,"95","3",16,11,"170","25","3","1","1","37.136863",27
"47","Muesli Raisins, Peaches, & Pecans","R","C",150,"4",3,"150","3",16,11,"170","25","3","1","1","34.139765",27
"52","Nutri-grain Wheat","K","C",90,"3",0,"170","3",18,2,"90","25","3","1","1","59.642837",20
"56","Puffed Rice","Q","C",50,"1",0,"0","0",13,0,"15","0","3","0.5","1","60.756112",13
"57","Puffed Wheat","Q","C",50,"2",0,"0","1",10,0,"50","0","3","0.5","1","63.005645",10
"62","Raisin Squares","K","C",90,"2",0,"0","2",15,6,"110","25","3","1","0.5","55.333142",21
"65","Shredded Wheat","N","C",80,"2",0,"0","3",16,0,"95","0","1","0.83","1","68.235885",16
"66","Shredded Wheat 'n'Bran","N","C",90,"3",0,"0","4",19,0,"140","0","1","1","0.67","74.472949",19
"67","Shredded Wheat spoon size","N","C",90,"3",0,"0","3",20,0,"120","0","1","1","0.67","72.801787",20
"70","Strawberry Fruit Wheats","N","C",90,"2",0,"15","3",15,5,"90","25","2","1","1","59.363993",20
